"","chapter","year","title","attendees"
"1","rladies-baltimore",2023,"Visualization and analysis of spatial data",83
"2","rladies-lima",2023,"Modelos de Machine Learning utilizando Tidymodels",67
"3","rladies-cuernavaca",2023,"Tidyverse",56
"4","rladies-milagro",2023,"Taller de Estadística Descriptiva en R",53
"5","rladies-st-louis",2023,"Save the date! Introduction to Network Analysis in R",43
"6","rladies-st-louis",2023,"Save the date! Introduction to ChatGPT for R coding",41
"7","rladies-sancristobal",2023,"Introducción a R",32
"8","rladies-coventry",2023,"An basic introduction: Python for R Users",31
"9","rladies-philly",2023,"TidyTuesday with R-Ladies Philly!",31
"10","rladies-ribeirao-preto",2023,"Trabalhando com R no Jornalismo de Dados",28
"11","rladies-dc",2023,"Data Happy Hour",21
"12","rladies-paris",2023,"Retour d'Expériences en Science des Données et en Consultation Scientifique",20
"13","rladies-taipei",2023,"旅遊服務銜接 AIGC 的各種坑",18
"14","rladies-baltimore",2023,"Holiday graphics and animations in R",17
"15","rladies-zurich",2023,"Zero to Quarto: Build your first Quarto website",17
"16","rladiesnyc",2023,"R-Ladies Coffe and Code Hangout",12
"17","rladies-ljubljana",2023,"DELAVNICA: Mešano",10
"18","rladiesnyc",2023,"R-Ladies Book Club -In Person Only",9
"19","rladies-montreal",2023,"RLadies October Meetup - ""R-omics"": Using R for bioinformatics",7
"20","rladies-salvador",2023,"5º Meetup Virtual R_Ladies Salvador",6
"21","rladies-rome",2023,"R-Ladies Rome - Meet and Greet, October 21st at 6:00 PM CET",5
"22","rladies-sao-paulo",2023,"Meetup R-Ladies São Paulo - Introdução ao R",5
"23","rladies-abuja",2023,"R-Ladies Abuja and Abuja R user Group Meet and Greet",4
"24","rladies-kathmandu",2023,"4 days workshop",2
"25","rladies-xalapa",2023,"Introducción a R",0
